Name,Price,Sold,Rating,Store,Location,Brand,Price_trimmed,price_log,price_yeojohnson,Price_final,Price_scaled,Sold_scaled,Rating_Category,cleaned_name,cleaned_name_tokens,Segment,Segment_Label
"Ventela Reborn Reflective Black Natural Sneakers for Men and Women Original 100% sizes 33-44 / sepatu sekolah pria wanita hitam putih / Sepatu Menyal terbaru  terbaru 2025 / sepatu  skena,santai,jalan,kuliah Casual Shoes",322760,250,3.7,toko slw_NEW,Kab. Tangerang,Ventela,322760,12.684667390235,0.4647646449123578,0.4647646449123578,0.5955521419122187,0.002490024900249,Good,ventela reborn reflective black natural sneakers for men and women original sizes sepatu sekolah pria wanita hitam putih sepatu sal baru baru sepatu skenasantaijalankuliah casual shoes,"['ventela', 'reborn', 'reflective', 'black', 'natural', 'sneakers', 'for', 'men', 'and', 'women', 'original', 'sizes', 'sepatu', 'sekolah', 'pria', 'wanita', 'hitam', 'putih', 'sepatu', 'sal', 'baru', 'baru', 'sepatu', 'skenasantaijalankuliah', 'casual', 'shoes']",3,Aerostreet Sneakers Casual
Aerostreet 37-44 Maximo Hitam Hitam Hitam - Sepatu Sneakers Casual,379800,10000,4.9,Aerostreet,Kab. Klaten,Aerostreet,379800,12.847402710321576,0.8106206035228501,0.8106206035228501,0.6667770182891998,0.0999909999099991,Excellent,aerostreet memaximo hitam hitam hitam sepatu sneakers casual,"['aerostreet', 'memaximo', 'hitam', 'hitam', 'hitam', 'sepatu', 'sneakers', 'casual']",3,Aerostreet Sneakers Casual
Aerostreet T Shirt Deo Steel Blue T-Shirt Tshirt ABBAA,139800,500,4.9,Aerostreet,Kab. Klaten,Aerostreet,139800,11.847975261832088,-0.9471685161395624,-0.9471685161395624,0.3047814833625984,0.004990049900499,Excellent,aerostreet t shirt deo steel blue tshirt tshirt abbaa,"['aerostreet', 't', 'shirt', 'deo', 'steel', 'blue', 'tshirt', 'tshirt', 'abbaa']",2,Aerostreet Apparel (T-Shirt/Kaos)
Sepatu Ventela Basic Low Black Natural Original Official Store,311000,2,5.0,Sepatu Pria Original,Tasikmalaya,Ventela,311000,12.647551406590283,0.3895511957544922,0.3895511957544922,0.5800628363652568,1.000010000100001e-05,Excellent,sepatu ventela basic low black natural original official store,"['sepatu', 'ventela', 'basic', 'low', 'black', 'natural', 'original', 'official', 'store']",1,Ventela Basic (Low/Black Natural)
Nike Air Force 1 LV8 GS 'Double Swoosh' Brand New in Box,1100000,14,5.0,Hobi Sepatu.id,Bandung,Nike,1100000,13.910821646859096,4.071633145285884e-05,4.071633145285884e-05,0.4824906382038295,0.0013001300130013,Excellent,tike air force lv gs double swoosh brand new in box,"['tike', 'air', 'force', 'lv', 'gs', 'double', 'swoosh', 'brand', 'new', 'in', 'box']",14,"Nike Air (Max, Jordan, Force)"
adidas Running Galaxy 7 Running Shoes Women Pink JQ2606,850000,60,5.0,adidas Indonesia,Bekasi,Adidas,850000,13.652992804936396,-0.2797166804301355,-0.2797166804301355,0.4246989238722736,0.0059005900590059,Excellent,adidas running galaxy running shoes women pink jq,"['adidas', 'running', 'galaxy', 'running', 'shoes', 'women', 'pink', 'jq']",5,Adidas Running (Duramo) & Cross-Gender
nike sepatu,250000,28,5.0,Boy_Collection,Palembang,Nike,250000,12.429220196836384,-1.2693787129587153,-1.2693787129587153,0.2202565529796819,0.0027002700270027,Excellent,tike sepatu,"['tike', 'sepatu']",1,Nike Air Max (Generik)
original nike new comer,3350000,8,5.0,Pegasus Minion,Jakarta Timur,Nike,3350000,15.024471202308668,1.6142907494383028,1.6142907494383028,0.8159591285920152,0.0007000700070007,Excellent,original tike new comer,"['original', 'tike', 'new', 'comer']",15,Warna Generik (Black/White) & Nike
adidas sock,500000,15,5.0,Archi Shop,Jakarta Selatan,Adidas,500000,13.122365377402328,-0.7702190956486394,-0.7702190956486394,0.3233719320308265,0.0014001400140014,Excellent,adidas sock,"['adidas', 'sock']",2,"Adidas Casual & Apparel (Neo, Gazelle)"
Paper Bag Ventela Shoes Pembungkus Kado Box Sepatu ( READY STOCK JKT ),18900,80,5.0,Belanjaduyuuu.id,Jakarta Pusat,Ventela,31000,10.34177474101152,-2.4271358738528943,-2.4271358738528943,0.0,0.000790007900079,Excellent,papar bag ventela shoes bungkus kado box sepatu ready stock jkt,"['papar', 'bag', 'ventela', 'shoes', 'bungkus', 'kado', 'box', 'sepatu', 'ready', 'stock', 'jkt']",7,Ventela Republic & Alpha
Ventela Bts 70s High Cream [ORIGINAL],484800,40,5.0,Ventela indo,Cimahi,Ventela,484800,13.091493776441386,1.382082109115172,1.382082109115172,0.7844626445642007,0.000390003900039,Excellent,ventela bts s high cream original,"['ventela', 'bts', 's', 'high', 'cream', 'original']",5,Ventela BTS (Back to 70s) High
adidas Football Samba FC Bayern Shoes Unisex Red JQ4039,1900000,7,5.0,adidas Indonesia,Bekasi,Adidas,1900000,14.45736497045232,0.7006141776005521,0.7006141776005521,0.6272136797055229,0.0006000600060006,Excellent,adidas football samba fc bayern shoes unisex red jq,"['adidas', 'football', 'samba', 'fc', 'bayern', 'shoes', 'unisex', 'red', 'jq']",6,Adidas Samba (OG)
Sepatu adidas x END. Samba 'Consortium Cup' IE0167,630000,22,5.0,Medicinefootwear,Bandung,Adidas,630000,13.353476685668044,-0.569637945034495,-0.569637945034495,0.3648075783828911,0.0021002100210021,Excellent,sepatu adidas x end samba consortium cup ie,"['sepatu', 'adidas', 'x', 'end', 'samba', 'consortium', 'cup', 'ie']",8,Sepatu Adidas (Generik/Ori Pria)
adidas cool,594000,26,5.0,Demian_Collection3,Yogyakarta,Adidas,594000,13.29463628184505,-0.6225241258973363,-0.6225241258973363,0.3538824586473904,0.0025002500250025,Excellent,adidas cool,"['adidas', 'cool']",2,"Adidas Casual & Apparel (Neo, Gazelle)"
"Sepatu Sneakers Pria NIKE AIR MAX 90 PRM ""CAMO PACK"" IF1721201 ORIGINAL",2199000,1,5.0,SNEAKERS DEPT,Jakarta Selatan,Nike,2199000,14.603513724288955,0.9161405090366652,0.9161405090366652,0.6717366711311933,0.0,Excellent,sepatu sneakers pria tike air max prm camo pack if original,"['sepatu', 'sneakers', 'pria', 'tike', 'air', 'max', 'prm', 'camo', 'pack', 'if', 'original']",3,Sneakers Pria (Generik/Cross-brand)
Tas Ransel ADIDAS ADICOLOR IJ0761 ORIGINAL,600000,2,5.0,SNEAKERS DEPT,Bekasi,Adidas,600000,13.304686600863562,-0.6135810104804684,-0.6135810104804684,0.3557299092506223,0.0001000100010001,Excellent,tas ransel adidas adicolor ij original,"['tas', 'ransel', 'adidas', 'adicolor', 'ij', 'original']",2,"Adidas Casual & Apparel (Neo, Gazelle)"
Nike Court Vision Low Black White DH2987 001 Original (NIKE STORE),999000,1,5.0,dstorein.id_NEW,Surabaya,Nike,999000,13.81451105863119,-0.1079388505576978,-0.1079388505576978,0.4601844387769704,0.0,Excellent,tike court vision low black white dh original tike store,"['tike', 'court', 'vision', 'low', 'black', 'white', 'dh', 'original', 'tike', 'store']",15,Warna Generik (Black/White) & Nike
Nike Dunk Low Diffused Taupe (UNISEX),2540000,16,5.0,Kick Avenue,Jakarta Barat,Nike,2540000,14.74767503269543,1.1417823377395036,1.1417823377395036,0.7183493014194187,0.0015001500150015,Excellent,tike dunk low ffused taupe unisex,"['tike', 'dunk', 'low', 'ffused', 'taupe', 'unisex']",10,"Nike Dunk Low (SB, Retro)"
SEPATU ADIDAS ADISTAR ALL BLACK ORIGINAL VIETNAM BNIB,749999,27,5.0,DIKSTYLESTORE,Jakarta Selatan,Adidas,749999,13.527828485512494,-0.4052185159218278,-0.4052185159218278,0.3987730098168078,0.0026002600260026,Excellent,sepatu adidas adistar all black original vietnam bnib,"['sepatu', 'adidas', 'adistar', 'all', 'black', 'original', 'vietnam', 'bnib']",8,Sepatu Adidas (Generik/Ori Pria)
Sepatu Ventela Ethnic High Black Natural Original,259800,9,5.0,ventela.original store,Surakarta,Ventela,259800,12.467671232325932,0.0432118519293896,0.0432118519293896,0.5087384126151688,8.000080000800008e-05,Excellent,sepatu ventela ethnic high black natural original,"['sepatu', 'ventela', 'ethnic', 'high', 'black', 'natural', 'original']",5,Ventela BTS (Back to 70s) High
